title,description,tags,pricing,website
Jules by Google,Automate code tasks such as bug fixing,['test writing and dependency updates via an asynchronous AI agent integrated into GitHub'],AI Agents; Assistant Code,https://jules.google/
Humanize AI Tools,A free tool to humanize your AI-generated text to ensure it bypasses AI detectors. Perfect for students,['SEO copywriters'],journalists,https://humanizeai.tools/
Ai Images Database,Find,['download and explore thousands of free AI-generated images'],classified by theme and style. Enjoy fast searching and unlimited access to enrich your projects (no sign-up required),https://imgdb.ai/
DreamO,Customize your images with great precision,['thanks to AI that preserves facial identity'],adapts characters,https://huggingface.co/spaces/ByteDance/DreamO
Comet by Perplexity,An agentic web browser powered by an AI assistant capable of understanding your most complex queries,['automating your tasks and personalizing your experience in real time'],Future Tools; Search engine,https://www.perplexity.ai/comet
HunyuanCustom,Generate customized videos from text,['image'],audio or video with this free,https://hunyuancustom.github.io/
ACE Step,A free,['open-source model capable of generating quality music in record time. Follows your prompt guidelines fairly closely'],Music,https://huggingface.co/spaces/ACE-Step/ACE-Step
3D House Planner,A professional floor planner web app. It has an AI tool that converts 2D floor plans images into 3D floor plan models with a single click,"['AIxploria Selection', 'Real Estate / Architect']",Free,https://3dhouseplanner.com/
Parakeet by Nvidia,Transcribe your audio files into text with remarkable accuracy thanks to this open source speech recognition model. Take advantage of features such as automatic punctuation and precise word time stamping,['Transcriber'],Free,https://huggingface.co/spaces/nvidia/parakeet-tdt-0.6b-v2
AI Humanizer QuillBot,Humanize your text quickly and easily with this smart AI tool. Paste in your text and AI suggests modifications to pass the detectors of artificially generated content,['AI detection'],Free,https://www.aixploria.com/out/AIHumanizerQuillBot
DeepSeek-Prover-V2,Solve complex theorems in Lean 4 with an open-source model combining informal reasoning and formal proofs. Break down problems into sub-objectives and generate detailed solutions.,['LLM models'],Free,https://www.aixploria.com/out/AIHumanizerQuillBot
Video Background Remover,A smart,['AI-powered online tool that helps you remove backgrounds from your video clips with just a few clicks'],AIxploria Selection; Video Edition,https://video-background-remover.com/
F-Lite by Freepik,"A free, open-source AI image generator for high-quality illustrations. This model has been trained on licensed data",#Image Generators,Free,https://www.freepik.com/blog/f-lite-freepik-and-fal-ai-unveil-open-source-image-model-trained-on-licensed-data/
Qwen 3,"A powerful multilingual AI model, capable of step-by-step reasoning or instantaneous response. Manage the level of thinking for each task, and access advanced tools for code, translation and agent integration",#LLM models,Free,https://huggingface.co/spaces/Qwen/Qwen3-Demo
Magi-1 by Sand.ai,Create high-quality videos from text or images with this open source autoregressive model. Enjoy precise control over every sequence and realistic motion simulation,#Video Generators,Free,https://sand.ai/magi
Dia 1.6B,"Generate realistic and varied dialogs with a powerful text-to-speech model, accessible directly online. Ideal for testing and exploring automated audio conversations",#Developer Tools #Text To Speech,Free,https://huggingface.co/spaces/nari-labs/Dia-1.6B
Seedream3.0,"A high-resolution image generator (up to 2K), with accurate rendering of Chinese and English text, even at small sizes. Enjoy remarkable speed and visual quality",#Future Tools #Image Generators,Free,https://seed.bytedance.com/en/tech/seedream3_0
Notion Mail,"An inbox that connects to your Gmail and can perform all kinds of tasks: write e-mails, organize your messages, schedule meetings and more",#E-mail,Free,https://www.notion.com/product
Seaweed.video,Discover a lightweight AI video generator built with just 7 billion parameters. The Seaweed-7B model is capable of creating videos that rival the industry giants (still in project),#Future Tools #Video Generators,Free,https://seaweed.video/
DolphinGemma,An artificial intelligence model designed by Google that will attempt to decipher the language of dolphins and learn more about their mode of communication,#LLM models #Research & Science,Free,https://blog.google/technology/ai/dolphingemma/
Fineshare Singify,Easily create cover songs with AI and also enjoy a powerful AI music generator. Many tools and voice models available (1000+),#AIxploria Selection #Audio Editing,Free,https://singify.fineshare.com/?ref=aixploria
Dreamina AI,"A free AI image generator that turns your ideas into visual works of art. Create custom designs for a variety of uses, such as character design, game assets or product photography",#Art #Image Generators,Free,https://dreamina.capcut.com/
Firebase Studio,"Create complete applications directly in your browser with this AI development platform. Benefit from Gemini agents for prototyping, coding and deployment, all integrated in a cloud environment",#Assistant Code #Developer Tools,Free,https://firebase.studio/
Agent2Agent Protocol,"An open protocol that enables AI agents to communicate with each other, regardless of their origin. Transform your isolated agents into teams of digital workers capable of collaborating on complex tasks",#AI Agents #Developer Tools,Free,https://google.github.io/A2A/
